C0 (1065 objects)	C1 (108 objects)	C2 (511 objects)
2542761		
2538855		
2541252		
2540235		
2539792		
2540256		
2541464		
2542689		
2540429		
2539693		
2539674		
2539594		
2538899		
2541623		
2543184		
2542060		
2543348		
2538920		
2541668		
3361401		
2540264		
2541493		
2542331		
2539957		
2541549		
2540605		
2538964		
2542520		
2540132		
2538802		
2540315		
2539141		
2540149		
2540017		
2543064,2542363		
2541031		
2542471		
2539479		
2542630		
2543317		
2540645		
2543193,2540937		
2540046		
2539606		
2543110,2543536		
2540430		
2539761		
2543042		
2538924		
2542777		
2540327		
2540772		
2542911,2543419		
2541204		
2541625		
2539195		
2541837		
2541682		
2543503		
2543024,2542289,2541387		
2541948		
2542398		
2540402		
2540011		
2543450		
2540773		
2543319		
2541345		
2542573		
2539902		
2542283		
2541670		
2541014		
2538800		
2543325,3361570		
2543118		
2539332		
2540936,2539864		
2540398		
2540685		
2543235		
2540993		
2542674		
2542143		
3361396		
2542285		
2542923		
2541679		
2541926		
2540675		
2542666		
2543393		
2539844		
2543171		
2541039		
2540103		
2540668		
2539198		
2543065		
2541814		
2540873		
2543679		
2540164		
2540247		
2539583		
2541053		
2543082		
2540390		
2541872		
2539172		
2542670		
2541126		
2541392,2541377,2541401,2541374		
2541614		
2538733,2538958,2539138,2539052		
2543252		
2539323		
2541280		
2542334		
2539369		
2541843		
2541303		
2542487		
2540540		
2539279		
2542836		
2540292		
2541446		
2541038		
2541395		
2543323		
2539933		
2543539		
2539261		
2542639		
2540283		
2543643		
2543309,2542265		
2540676		
2538908		
2543659		
2540199		
2540897,2539445,2542991		
2543129		
2543501		
2539133		
2542848,2542661		
2542789		
2541505		
2542939,2541712		
2542465		
2539765		
2540717		
2539969		
2542122		
2539756,2541447		
2542359		
2542873		
2541318,2541496		
2541798		
2539668		
2540389		
2543269		
2540006		
2541450		
2539654		
3361378		
2543214		
2540052		
2543373		
2540806		
2543513		
2539351		
2539522		
2539169		
2543099		
2541002		
2542174		
2538771		
2541917,2542264		
2539738		
2540883		
