Objects	t0	t1	t2	t3
O835	-0.87	-0.87	0.92	0.81
O836	1.5	-0.5	-0.5	-0.5
O837	0.0	0.0	0.0	0.0
O838	0.0	0.0	0.0	0.0
O839	0.0	0.0	0.0	0.0
O84	-0.5	-0.5	-0.5	1.5
O840	1.5	-0.5	-0.5	-0.5
O841	0.54	0.65	0.3	-1.48
O842	0.54	-1.5	0.39	0.56
O843	-0.85	0.61	1.09	-0.85
O844	0.69	-0.86	-0.86	1.02
O845	1.5	-0.5	-0.5	-0.5
O846	-0.5	-0.5	-0.5	1.5
O847	1.02	0.69	-0.86	-0.86
O848	1.02	0.69	-0.86	-0.86
O849	0.78	0.41	0.27	-1.46
O85	-1.44	0.12	0.54	0.79
O850	-1.47	0.25	0.48	0.74
O851	0.0	0.0	0.0	0.0
O852	0.0	0.0	0.0	0.0
O853	0.0	0.0	0.0	0.0
O854	-0.95	-0.67	0.41	1.22
O855	1.13	0.43	-0.37	-1.19
O856	-1.4	-0.03	0.69	0.75
O857	0.64	0.49	0.36	-1.49
O858	1.11	0.58	-0.84	-0.84
O859	0.87	0.86	-0.87	-0.87
O86	1.5	-0.46	-0.58	-0.46
O860	0.0	0.0	0.0	0.0
O861	0.94	0.78	-0.86	-0.86
O862	0.59	0.61	0.28	-1.48
O863	-1.11	1.2	0.35	-0.44
O864	0.88	0.23	0.32	-1.44
O865	0.51	0.72	0.24	-1.47
O866	0.0	0.0	0.0	0.0
O867	-1.3	-0.2	0.47	1.03
O868	-1.02	-0.37	0.03	1.35
O869	0.0	0.0	0.0	0.0
O87	-1.48	0.25	0.55	0.67
O870	0.0	0.0	0.0	0.0
O871	0.0	0.0	0.0	0.0
O872	0.0	0.0	0.0	0.0
O873	1.0	0.72	-0.86	-0.86
O874	0.95	0.78	-0.86	-0.86
O875	-0.5	-0.5	-0.5	1.5
O876	1.04	0.68	-0.86	-0.86
O877	0.06	-0.66	-0.79	1.39
O878	0.75	-0.86	-0.86	0.97
O879	0.0	0.0	0.0	0.0
