OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	W	X	Y	Z
40105	850466,851182,855588	2541784	0.55088553001	1.36202670819	-1.03324076424	-0.879671473967
40107	855594	2541315	1.2316068107	0.685077132563	-1.25581072384	-0.660873219427
40112	855602	2543304	0.331337294222	-0.880126242733	1.49197583484	-0.943186886333
40124	855639	2541762	-0.16368509749	-1.24424538056	1.55070206541	-0.142771587353
40125	855643	2538943	-0.458189227893	-0.972337810669	1.66957426777	-0.239047229207
40133	855662	2542697	-0.345456036342	-0.166802448666	1.6202466664	-1.10798818139
4015	850775	2539817	-0.589328603914	-1.25229607014	1.36163862327	0.479986050787
40151	855727	2540102	-1.08532429862	-0.287917661742	1.63432289693	-0.261080936568
40156	855742	2541187	-1.12398104692	-0.809069002606	1.29342922189	0.639620827638
40157	855751	2538784	1.20392155854	0.158009888991	-1.57488325966	0.212951812132
40164	855768	2541382	-1.06081541866	0.0858615586783	-0.606147988741	1.58110184872
40168	855782	2541708	-0.316465934612	-0.853360789474	1.70012127831	-0.530294554227
4017	855869	2541306	1.60281259382	-1.14548387801	-0.144154899424	-0.313173816388
40178	854019	2541474	-0.938222127327	-1.00840891004	1.29593333603	0.650697701336
4018	851998	2539967	-1.48545585614	-0.336123994074	0.80743378177	1.01414606844
4019	856310	2543606	-1.62531814224	-0.00396419059084	0.690052319275	0.939230013555
40218	854136	2540619	-0.0440877476403	-0.607502671991	1.63283609222	-0.981245672589
40240	854203	2540128	-1.33587588371	-0.575496529055	0.786029025244	1.12534338752
40243	854208	2541358	0.536181139536	1.22531469645	-1.45506485583	-0.306430980164
40274	854289	2543526	-0.788867710818	-0.788867710818	-0.0802556806853	1.65799110232
40290	854334	2542890	-0.83563953053	-0.215185546663	1.68801416514	-0.637189087949
40306	854373	2543631	-1.43572420315	-0.155990979277	0.226830256242	1.36488492618
40307	854376	2539800	-1.04029091835	-0.457809014646	1.63957060261	-0.141470669617
40310	854384	2542272	0.153661659244	1.49221143534	-0.378389584106	-1.26748351048
40341	854452	2543161	-0.64220042028	1.64583088052	-0.934933160103	-0.068697300141
40348	854467	2543194	-0.639466400739	0.74760313978	-1.28417517191	1.17603843287
40352	854477	2541778	1.22105200018	0.715041809906	-1.21656008601	-0.71953372407
40361	854505	2541731	0.573450342436	0.508441007479	-1.72993642348	0.648045073568
4037	854303	2541260	0.546995693076	1.32257081954	-1.25412841949	-0.615438093131
40390	854099,855870,856239	2541373	-1.17912200792	-0.452988109012	0.0837363619113	1.54837375502
40393	855821	2541202	-1.0997997636	-0.802902055659	1.36101642106	0.5416853982
40410	855893	2539820	-1.01236390805	0.522660438677	1.3810824858	-0.891379016424
40411	855895	2543587	0.0461118777298	0.920150872618	-1.64165720894	0.67539445859
40417	855913	2543173	0.629773617595	0.23106720493	0.830426462177	-1.6912672847
40453	856002	2538987	0.677514280509	1.05354365989	-1.54844161465	-0.182616325758
40455	856006	2540425	-0.51400685996	-0.910743481308	1.68484277721	-0.260092435947
40459	856022	2538979	-1.28719653327	-0.259819390594	1.50801113915	0.0390047847133
40496	856130	2539164	-0.518551225427	-1.34554943401	1.23467692552	0.62942373392
40499	856134	2541858	0.53692780717	-0.948349834907	1.37355241536	-0.962130387621
40514	856182	2539919	0.642337644108	0.642337644108	-1.72622172551	0.441546437298
40526	856212	2538982	-0.76774728712	-0.360800245165	-0.585416957464	1.71396448975
40528	856214	2540785	-0.462509010178	-1.41623230608	0.851231552158	1.0275097641
4053	851607	2539746	0.771901423118	0.907677480308	-1.60457606846	-0.0750028349661
40545	856267	2539987	-0.793429339073	0.687680975446	1.25536605324	-1.14961768961
40567	856319	2539136	1.4767979233	-1.22413100699	0.253568427972	-0.506235344284
40568	856320	2543417	-0.500425109673	-0.155792722823	1.65287161486	-0.996653782367
40661	853011	2541605	-0.260794641899	-1.52434382907	0.979178603516	0.805959867454
40728	850790	2540195	0.0481606777182	1.60756610069	-0.973973277087	-0.681753501319
40775	851924	2540514	0.308396706258	-0.0794861296379	1.27701397127	-1.50592454789
40812	851213	2542973	0.115330225652	1.4676620459	-0.253102788793	-1.32988948276
40823	856092	2538868	-0.216001655247	-1.16482656356	1.59682987406	-0.216001655247
4083	855264	2542757	0.793571320294	0.982684439964	-0.245075165286	-1.53118059497
40848	854331	2539916	1.20000374314	0.777563477164	-0.988783610154	-0.988783610154
40859	850890	2542962	-0.961588985373	-0.421145502636	1.67676202699	-0.294027538977
40891	851877	2540500	1.27292247099	-1.41770630573	0.496240967231	-0.351457132498
409	851582	2543195	0.486432821205	1.19631399192	-1.51827721238	-0.164469600747
4091	853316	2541127	-0.710764971887	1.34782381938	-1.17738392803	0.540325080547
40945	853318	2540520	-0.581517150073	0.832409054277	1.08646567767	-1.33735758187
40953	851389	2538778	-1.49824152761	-0.316245193739	0.839862831592	0.974623889759
40971	850552	2538861	1.54440046027	0.129627485107	-0.523295028016	-1.15073291736
41001	855099	2541628	0.901933040202	-1.22333137818	1.06577615034	-0.744377812362
41009	854123	2541587	0.321189195818	-1.5743273542	1.18922050783	0.0639176505571
41014	854469	2540324	-0.382745722107	0.225117125886	1.45547776546	-1.29784916924
41034	855705	2542441	0.392066155682	1.16564248776	-1.57708161121	0.0193729677736
41080	854335	2538767	-1.31555496132	-0.543982817166	0.580156630052	1.27938114844
41105	853373	2541194	-1.59100953479	0.0560587703067	0.388325576893	1.14662518759
41114	852222	2543170	-1.12877251788	0.916501524387	-0.859102316262	1.07137330976
41136	851554	2543187	-0.381607559636	-1.44463972464	0.689738140414	1.13650914386
41191	855403	2543591	-0.988549271408	-0.751395241746	1.55716657926	0.182777933895
41203	855746	2538946	-1.18807361556	-0.602437328296	1.45319168219	0.337319261674
41206	850452	3361316	-1.28063936004	-0.155657325379	1.52569386535	-0.0893971799314
41235	852144	2540815	-1.02937516703	-0.871553161386	0.518019024632	1.38290930379
413	854986	2542022	0.879365224117	0.410316924139	0.410316924139	-1.6999990724
41308	856574	2541069	-1.3996129303	1.11021859505	0.763819036035	-0.474424700789
41334	851682	2543369	-0.0512608140243	-1.57482912952	1.1254559907	0.500633952846
41429	856608	2541853	-1.40845143422	0.941324536318	-0.480953487659	0.948080385559
41449	850400	2542505	1.11571498443	0.805388923912	-1.32194415208	-0.599159756267
41480	854678	2541536	0.370432832112	-1.69070638518	0.917751128354	0.402522424717
41505	852982	2541176	-0.401295136703	-1.14276732004	1.59086595845	-0.0468035017047
41560	855266	2543461	-0.223716083438	1.3167510655	-1.44617159387	0.353136611812
4160	850749	2541974	0.650867852726	1.01300053364	-1.5954693769	-0.0683990094602
41678	853445	2542044	-0.0418198201282	1.37020907075	0.122719983938	-1.45110923456
41747	855182	2540493	-1.60621683241	-0.0144483599805	1.04117983927	0.579485353116
4177	853856	2541767	-1.32522699576	-0.5008248526	1.31658211622	0.50946973214
4178	851085	2540144	-0.0374283081735	1.44085948274	-1.38644675419	-0.0169844203834
41789	854165	2539158	-0.639206629544	-0.972543617278	1.62645551806	-0.0147052712408
4181	851532	5802965	0.452579749062	1.14012680976	-1.57959185646	-0.0131147023633
41911	850498	2542033	1.41773558505	-0.702073532531	-1.14555955789	0.429897505379
41914	850507	2542687	0.658431726402	-1.29156950124	1.23794941797	-0.60481164314
41926	856088,850544	2541428	0.124542931521	1.5595233237	-1.10120149475	-0.582864760475
41942	850602	2541520	0.352689777349	1.04264540922	-1.65030087271	0.254965686146
41963	852044	2542284	-1.44442830372	-0.245123896615	0.383122641455	1.30642955888
4210	851632	2543648	-0.145046434671	-1.25421160571	1.54430447505	-0.145046434671
4212	855786	2540908	0.38277403212	1.23320768139	-1.52457455937	-0.091407154139
4217	854152	2542936	1.38183263288	0.514239176646	-0.828552662228	-1.06751914729
4228	852196	2542768	1.06805071114	-0.432901041203	-1.42891565023	0.793765980293
4240	850554	2543040	0.647566859221	0.750701256315	0.310699573368	-1.7089676889
42428	853203	2538717	1.71463968634	-0.799014904568	-0.492464647857	-0.423160133911
4252	855832	2541206	0.317720040456	-0.774461528547	1.49228468954	-1.03554320145
4254	853429	2542114	0.304277138666	-0.0559483658421	1.26749857809	-1.51582735092
4277	853581	2543456	1.51007232047	0.285467680372	-0.783297638897	-1.01224236194
42951	853851	2540788	-0.57968504771	-1.28255150344	1.30865264504	0.553583906118
4323	852501	2540630	0.276482852335	-1.44579982217	1.34280392565	-0.173486955805
4337	853724	2541640	1.17091223752	0.0216562527077	0.38284438198	-1.57541287221
4349	852752	2542993	1.09217486523	0.593650706904	-0.123979905987	-1.56184566615
4373	853438	2540567	-0.330973286646	-0.330973286646	1.66548194793	-1.00353537464
4378	856689	2540075	0.333411101544	-0.298689053966	-1.39558797827	1.36086593069
43791	855695	2538796	0.310765465928	-0.609705056044	1.46988679937	-1.17094720925
4394	850912	2541870	-0.55058148515	-1.35656878713	1.09136133551	0.815788936765
44063	853768	2538799	-0.590930661847	0.716443825026	-1.31368272278	1.1881695596
44097	854260	2543329	0.951881724269	-0.0209109698772	-1.61876995647	0.687799202077
44120	851633	2543203	-0.102423528923	0.319108249706	-1.49834293801	1.28165821723
