GeneID	time0_rep1	time0_rep2	time1_rep1	time1_rep2	time2_rep1	time2_rep2	time3_rep1	time3_rep2	time4_rep1	time4_rep2	time5_rep1	time5_rep2
851786	947.46344	847.5741	919.77765	819.77673	1061.1482	1069.3525	677.192	648.74176	601.0401	631.4532	728.5476	696.309
853787	2148.2874	2279.976	1953.4913	1828.1848	1722.0325	1669.5479	1780.7771	1671.2317	1703.1718	1798.8771	1545.2299	1587.5079
856605	3354.4207	3260.8577	3205.0076	3129.2114	3492.9023	3631.8706	2796.633	2629.703	2624.0312	2602.119	2810.153	2723.0315
855252	4123.3726	4581.208	3628.5435	4083.7917	3259.9216	3205.992	3136.5374	3493.282	3494.1616	3428.5725	3404.0396	3420.5024
855792	2519.268	2647.506	2498.3677	2559.5742	2611.967	2577.6006	2289.5557	2354.4443	2068.6929	1927.1298	2256.2617	2007.0498
855499	5038.123	5218.8076	3704.9475	3637.1008	3225.6626	3382.2422	3080.0981	3158.6846	3337.983	3490.4548	2695.6792	2740.9778
850841	396.1073	382.8825	326.2419	285.41138	467.84033	444.3792	315.5481	294.0131	372.2028	390.12973	312.79492	339.4476
854445	2034.5793	2016.2468	2304.8518	2263.378	2621.0562	2535.9172	3169.9587	3264.084	3121.5571	3131.3489	3815.919	3788.5493
856604	1350.646	1332.5396	1640.3042	1571.534	998.31256	970.53656	2197.0032	2186.1182	1993.4811	2089.4202	2530.7195	2613.1917
854251	795.7644	756.7703	930.85046	847.4516	1145.0989	1142.3197	1075.529	1120.1515	979.8016	1045.3783	1173.301	1190.5929
852797	452.2609	415.9261	530.5794	462.03345	564.3412	605.6218	399.43604	384.40802	308.38486	354.12936	445.74826	440.5648
851718	744.9478	667.0203	926.0059	911.58826	982.5573	944.8251	1638.1211	1554.0978	1442.0553	1538.9017	1553.1466	1558.4382
855256	1631.7657	1584.2548	1513.742	1466.8137	1285.733	1326.1039	1575.7819	1517.943	1648.0557	1579.0177	1464.0187	1535.7482
853408	4370.773	4089.4468	4493.9194	4213.0757	5018.395	5045.2007	3080.8738	3131.8535	3255.1685	3291.332	3123.8623	3166.3088
852083	1266.8768	1235.736	1514.9147	1557.2883	1193.6182	1139.5277	2196.6858	2115.0317	1982.5331	1932.2356	1819.0925	1820.7952
854735	4552.116	4643.457	4950.3125	4987.511	5513.9473	5615.894	6363.6177	6682.141	7127.566	7164.0933	7169.766	7439.468
852893	533.6343	510.3423	471.94986	503.41003	589.79	575.69635	529.52094	497.1799	565.0224	582.0299	561.59607	541.0999
851832	4337.9424	4569.353	4588.637	4640.951	4087.6843	4145.093	3867.6992	3810.2244	3575.3215	3541.1267	3633.568	3680.423
